Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag,timestamp
132,75,100,90,0.0,33.228,6.1047,42.219,100,1.0,-4000,0.00062113,13.149,20.823,77381,85137,6.491,297.93,275.58,1.6542,10.0,1451.8,23,1756.6,1.3581,0.1917,20.712,23.33,1.5797,0,63.354,0,0,1,13,13,0,121200,121520,04/09/2025 11:35:48 AM
144,75,100,90,0.0,55.924,50.511,7.9269,100,1.0,0,0.00049936,13.414,22.309,80005,88285,6.4868,297.91,265.12,1.6727,10.0,1655.6,23,1850.5,1.1871,0.19295,22.22,23.133,1.5974,0,70.095,0,0,1,13,13,0,128180,128850,04/09/2025 11:35:49 AM
156,75,100,90,0.0,36.028,19.047,3.172,0,0.9,0,0.0011828,11.638,24.011,74948,82736,6.5165,297.93,272.96,1.5408,10.0,1852.0,23,1947.9,1.2542,0.1927,23.848,22.957,1.4709,0,77.856,0,0,1,13,13,0,135210,135380,04/09/2025 11:35:50 AM
168,75,100,80,0.0,70.644,59.351,9.0894,400,0.9,0,0.0016922,13.317,25.598,79556,87898,6.503,297.9,260.39,1.5617,10.0,2011.5,23,1983.6,0.85685,0.19564,25.521,22.314,1.491,0,73.824,0,0,1,13,13,0,142840,143200,04/09/2025 11:35:51 AM
180,75,100,80,0.0,70.485,9.434,91.359,150,0.9,0,0.0017863,12.518,27.451,76346,84252,6.5005,298.06,323.92,1.461,10.0,2105.4,23,2011.3,1.0664,0.19427,27.324,22.008,1.3944,0,71.839,0,0,1,13,13,0,152720,153090,04/09/2025 11:35:52 AM
192,75,100,80,0.0,40.644,63.765,9.1721,150,0.9,-4000,0.0016743,12.436,29.137,72402,79841,6.5124,297.97,289.71,1.362,10.0,2193.3,23,2066.3,1.0675,0.19446,29.038,21.939,1.2996,0,73.546,0,0,1,13,13,0,160240,160630,04/09/2025 11:35:53 AM
204,65,100,80,0.0,43.754,10.386,64.225,250,0.9,0,0.0021037,12.457,30.355,75827,83832,6.5077,297.96,287.4,1.5909,4.0,2219.4,23,2116.9,1.135,0.19219,30.298,21.801,1.3164,0,73.677,0,0,1,13,13,0,166000,165740,04/09/2025 11:35:54 AM
216,65,100,80,0.0,33.221,67.314,9.8801,250,0.9,0,0.0018603,12.597,31.068,72953,80509,6.498,298.0,300.04,1.4936,4.0,1933.3,23,2074.8,1.0478,0.19314,31.027,21.709,1.2355,0,69.761,0,0,1,13,13,0,169340,169410,04/09/2025 11:35:55 AM
1,30,100,8,0.51498,53.076,87.339,8.3459,0,0.6,0,1.2317,14.652,0.00099684,58307,61267,6.6344,298.03,269.46,0.1032,5.0,1409.1,22,1794.4,-0.061118,0.20612,0.001,0.48232,0.039251,0,4.0806,0,0,1,14,14,0,0,0,04/09/2025 11:35:56 AM
12,42,100,15,0.0,57.479,273.42,0.0001,0,0.6,0,0.99238,11.924,0.00096577,58489,61772,6.4872,298.24,326.93,0.31477,0.0,1508.4,30,1920.0,0.92538,0.19206,0.00096832,2.6233,0.1677,0,10.567,0,0,1,14,14,0,21530,21334,04/09/2025 11:35:57 AM
24,55,100,150,0.0,225.0,332.31,0.0001,0,0.7,0,0.016207,9.4855,0.00090595,60417,64373,6.4482,298.02,265.35,0.74181,0.0,1190.7,35,1910.8,1.7806,0.18527,0.00091204,8.8574,0.51813,0,21.888,0,0,1,14,14,0,21685,21822,04/09/2025 11:35:58 AM
36,55,100,43,0.0,50.0,105.04,0.0001,0,0.9,0,0.0024544,12.463,1.6072,61126,65589,6.5051,297.96,248.58,0.99777,0.0,729.95,35,1849.6,1.0637,0.19228,1.4764,12.415,0.6974,0,35.358,0,0,1,14,14,0,29181,28831,04/09/2025 11:35:59 AM
48,60,100,57,0.0,73.715,137.65,0.0001,0,1.1,0,0.0023251,12.756,3.8295,62237,67265,6.4922,297.97,251.4,1.1621,10.0,697.58,35,1903.5,1.2635,0.19098,3.6602,15.614,0.88651,0,49.395,0,0,1,14,14,0,38685,39021,04/09/2025 11:36:00 AM
60,60,100,72,0.0,71.553,18.922,0.0001,500,1.1,0,0.0020111,14.19,6.1977,68739,74396,6.5047,297.99,253.99,1.4235,10.0,935.69,34,1888.9,1.2306,0.19079,6.0377,17.572,1.0867,0,40.925,0,0,1,14,14,0,51214,51072,04/09/2025 11:36:01 AM
72,60,100,84,0.0,69.821,1.196,0.0001,500,1.1,0,0.0017759,15.098,8.4934,76177,82468,6.505,298.0,258.3,1.6601,10.0,1068.9,31,1823.4,1.5153,0.18763,8.3454,18.607,1.2683,0,25.57,0,0,1,14,14,0,62451,62162,04/09/2025 11:36:02 AM
84,60,100,90,0.0,54.609,81.103,0.0001,100,1.1,0,0.0014095,14.188,10.995,80290,87259,6.4891,297.96,242.97,1.9166,10.0,1063.5,23,1788.5,1.956,0.18294,10.821,20.428,1.4654,0,26.732,0,0,1,14,14,0,73466,73366,04/09/2025 11:36:03 AM
96,75,100,90,0.0,76.105,57.531,0.0001,100,1.1,0,0.00129,14.005,13.532,82948,90543,6.4979,297.99,254.01,1.7008,10.0,1019.8,23,1774.0,1.8739,0.18771,13.366,21.973,1.6244,0,35.684,0,0,1,14,14,0,85576,85998,04/09/2025 11:36:04 AM
108,75,100,90,0.0,71.648,32.13,0.0001,100,1.0,0,0.0012474,12.755,15.848,78653,85901,6.5118,297.99,253.25,1.6976,10.0,1026.3,23,1778.3,1.5476,0.19019,15.702,23.238,1.6213,0,44.661,0,0,1,14,14,0,97605,97547,04/09/2025 11:36:05 AM
120,75,100,90,0.0,78.547,0.0001,10.529,100,1.0,0,0.00091323,12.509,17.921,81520,89368,6.5095,297.96,243.14,1.8109,10.0,1082.7,23,1802.9,1.6547,0.18916,17.793,24.108,1.7302,0,53.534,0,0,1,14,14,0,107450,107410,04/09/2025 11:36:06 AM
132,75,100,90,0.0,56.967,0.0001,0.14247,100,1.0,-4000,0.00089474,11.936,19.923,77218,84659,6.4833,297.93,233.12,1.7484,10.0,1107.9,23,1832.8,1.7541,0.18853,19.791,24.647,1.6701,0,62.064,0,0,1,14,14,0,116440,116920,04/09/2025 11:36:07 AM
144,75,100,90,0.0,96.315,52.214,8.3641,100,1.0,0,0.0007166,12.128,21.536,80107,88122,6.5148,297.98,248.42,1.8,10.0,1233.9,23,1899.3,1.6575,0.18916,21.447,24.792,1.7196,0,69.996,0,0,1,14,14,0,124050,123870,04/09/2025 11:36:08 AM
156,75,100,90,0.0,38.183,34.647,0.8274,0,0.9,0,0.00054815,10.829,22.893,75116,82664,6.5128,297.92,228.62,1.6687,10.0,1417.9,23,2009.7,1.5584,0.19016,22.797,24.729,1.5936,0,79.386,0,0,1,14,14,0,130870,131380,04/09/2025 11:36:09 AM
168,75,100,80,0.0,68.295,84.559,12.276,400,0.9,0,0.00081302,12.756,23.741,79873,87963,6.5051,298.03,269.19,1.6827,10.0,1666.9,23,2094.9,1.1515,0.1932,23.717,23.854,1.607,0,76.165,0,0,1,14,14,0,134890,135070,04/09/2025 11:36:10 AM
180,75,100,80,0.0,62.673,10.921,95.881,150,0.9,0,0.0013151,11.862,25.022,76466,84034,6.5217,298.07,284.95,1.5525,10.0,1868.4,23,2172.5,1.2852,0.19245,24.928,23.251,1.4821,0,73.962,0,0,1,14,14,0,140990,141340,04/09/2025 11:36:11 AM
192,75,100,80,0.0,38.82,10.206,58.234,150,0.9,-4000,0.0013594,11.893,26.358,72514,79559,6.4808,297.99,252.83,1.4347,10.0,2026.6,23,2252.0,1.1174,0.19394,26.268,22.955,1.3692,0,75.249,0,0,1,14,14,0,146320,146520,04/09/2025 11:36:12 AM
204,65,100,80,0.0,61.318,61.107,9.4353,250,0.9,0,0.0016604,12.119,27.366,76079,83622,6.4925,297.98,251.06,1.6561,4.0,2114.6,23,2311.0,1.1095,0.19228,27.307,22.515,1.3706,0,74.945,0,0,1,14,14,0,151570,151940,04/09/2025 11:36:13 AM
216,65,100,80,0.0,50.768,48.589,1.1568,250,0.9,0,0.0017589,12.334,28.119,73318,80377,6.5126,297.9,222.52,1.538,4.0,1858.5,23,2253.7,0.98813,0.19357,28.088,22.151,1.2724,0,70.571,0,0,1,14,14,0,155620,155500,04/09/2025 11:36:14 AM
228,65,100,80,0.0,49.573,9.4118,62.356,250,0.9,0,0.001609,12.601,28.49,77480,85071,6.4948,297.94,233.58,1.5529,4.0,1682.3,23,2234.1,1.0916,0.19264,28.467,21.732,1.2848,0,66.428,0,0,1,14,14,0,156790,157340,04/09/2025 11:36:15 AM
230,65,100,80,0.0,45.417,29.788,7.0401,250,0.9,0,0.0015985,12.633,28.548,78172,85851,6.4955,297.87,209.5,1.5546,4.0,1652.7,23,2231.5,1.1056,0.19252,28.523,21.666,1.2862,0,65.716,0,0,1,14,14,0,156550,156270,04/09/2025 11:36:16 AM
1,30,100,8,0.0,6.3007,63.385,6.5127,0,0.6,0,1.3776,14.665,0.00099782,58687,61734,6.5355,297.98,162.87,0.097402,5.0,1400.8,22,1708.3,-0.11041,0.20704,0.001,0.44105,0.037046,0,4.0782,0,0,1,15,15,0,0,0,04/09/2025 11:36:17 AM
12,42,100,15,0.0,46.946,149.43,0.0001,0,0.6,0,2.5405,11.911,0.00096752,58824,62200,6.4988,298.14,206.33,0.2729,0.0,1527.6,30,1840.0,0.63411,0.19611,0.00096997,2.2274,0.14538,0,10.277,0,0,1,15,15,0,21482,21286,04/09/2025 11:36:18 AM
24,55,100,150,0.0,225.0,409.38,0.0001,0,0.7,0,0.020951,6.7923,0.00090242,61106,65219,6.3923,298.11,196.76,0.79824,0.0,1159.3,35,1806.2,2.0823,0.18196,0.00090847,9.4239,0.55762,0,21.815,0,0,1,15,15,0,21080,21217,04/09/2025 11:36:19 AM
36,55,100,43,0.0,38.14,231.29,14.168,0,0.9,0,0.0027947,10.346,1.4601,61975,66627,6.5093,298.42,285.93,1.092,0.0,703.68,35,1745.6,1.2692,0.18997,1.3342,13.428,0.76344,0,35.837,0,0,1,15,15,0,27796,27946,04/09/2025 11:36:20 AM
48,60,100,57,0.0,48.502,196.61,0.0001,0,1.1,0,0.0023464,10.113,3.7467,62865,68119,6.4999,297.99,163.05,1.2785,10.0,679.31,35,1790.5,1.5039,0.18847,3.5689,17.053,0.97561,0,50.431,0,0,1,15,15,0,38056,38058,04/09/2025 11:36:21 AM
60,60,100,72,0.0,64.001,57.507,0.0001,500,1.1,0,0.0021692,12.195,6.1658,69155,75045,6.5002,297.99,158.71,1.5419,10.0,958.95,34,1778.8,1.2999,0.1899,6.0115,18.942,1.1775,0,42.448,0,0,1,15,15,0,49776,50132,04/09/2025 11:36:22 AM
72,60,100,84,0.0,56.418,25.026,0.0001,500,1.1,0,0.0017437,13.562,8.5884,76548,83113,6.5039,298.01,164.72,1.8078,10.0,1120.4,31,1705.1,1.4237,0.18822,8.4289,20.192,1.3818,0,27.539,0,0,1,15,15,0,62576,62454,04/09/2025 11:36:23 AM
84,60,100,90,0.0,57.211,63.041,0.0001,100,1.1,0,0.0012048,12.363,11.168,80591,87858,6.4864,297.96,146.78,2.0781,10.0,1153.6,23,1662.3,1.8823,0.18335,10.995,22.107,1.5897,0,29.146,0,0,1,15,15,0,74912,75313,04/09/2025 11:36:24 AM
96,75,100,90,0.0,39.666,21.437,0.0001,100,1.1,0,0.00089283,12.302,13.453,83282,91159,6.503,297.99,156.64,1.8148,10.0,1228.2,23,1664.5,1.7568,0.18838,13.305,23.407,1.7339,0,38.499,0,0,1,15,15,0,85236,85157,04/09/2025 11:36:25 AM
108,75,100,90,0.0,56.076,45.569,0.0001,100,1.0,0,0.0012288,10.324,16.059,78793,86331,6.5062,297.98,153.7,1.8009,10.0,1233.4,23,1652.3,1.6223,0.18942,15.873,24.633,1.7205,0,47.751,0,0,1,15,15,0,97130,97072,04/09/2025 11:36:26 AM
120,75,100,90,0.0,41.386,32.138,0.0001,100,1.0,0,0.0011012,9.6603,18.758,81353,89537,6.4986,298.02,169.11,1.9231,10.0,1179.8,23,1631.0,1.7725,0.18805,18.579,25.654,1.838,0,56.887,0,0,1,15,15,0,109980,109610,04/09/2025 11:36:27 AM
132,75,100,90,0.0,32.894,1.582,0.0001,100,1.0,-4000,0.0010451,9.085,21.184,76797,84600,6.5353,297.98,155.95,1.8605,10.0,1123.6,23,1630.0,1.8394,0.18767,21.022,26.386,1.7778,0,65.735,0,0,1,15,15,0,122490,122320,04/09/2025 11:36:28 AM
